date,price
1984-03-01,2.17
1984-04-01,2.21
1984-05-01,2.20
1984-06-01,2.19
1984-07-01,2.21
1984-08-01,2.23
1984-09-01,2.30
1984-10-01,2.26
1984-11-01,2.22
1984-12-01,2.23
1985-01-01,2.28
1985-02-01,2.29
1985-03-01,2.29
1985-04-01,2.29
1985-05-01,2.31
1985-06-01,2.28
1985-07-01,2.29
1985-08-01,2.27
1985-09-01,2.35
1985-10-01,2.35
1985-11-01,2.29
1985-12-01,2.29
1986-01-01,2.32
1986-02-01,2.35
1986-03-01,2.33
1986-04-01,2.38
1986-05-01,2.37
1986-06-01,2.33
1986-07-01,2.37
1986-08-01,2.32
1986-09-01,2.36
1986-10-01,2.38
1986-11-01,2.40
1986-12-01,2.41
1987-01-01,2.44
1987-02-01,2.47
1987-03-01,2.45
1987-04-01,2.44
1987-05-01,2.48
1987-06-01,2.43
1987-07-01,2.47
1987-08-01,2.48
1987-09-01,2.47
1987-10-01,2.49
1987-11-01,2.45
1987-12-01,2.44
1988-01-01,2.50
1988-02-01,2.48
1988-03-01,2.41
1988-04-01,2.43
1988-05-01,2.46
1988-06-01,2.43
1988-07-01,2.44
1988-08-01,2.44
1988-09-01,2.45
1988-10-01,2.49
1988-11-01,2.47
1988-12-01,2.54
1989-01-01,2.55
1989-02-01,2.56
1989-03-01,2.60
1989-04-01,2.61
1989-05-01,2.59
1989-06-01,2.59
1989-07-01,2.57
1989-08-01,2.61
1989-09-01,2.60
1989-10-01,2.64
1989-11-01,2.63
1989-12-01,2.67
1990-01-01,2.72
1990-02-01,2.66
1990-03-01,2.57
1990-04-01,2.59
1990-05-01,2.59
1990-06-01,2.59
1990-07-01,2.58
1990-08-01,2.63
1990-09-01,2.61
1990-10-01,2.61
1990-11-01,2.57
1990-12-01,2.54
1991-01-01,2.55
1991-02-01,2.52
1991-03-01,2.56
1991-04-01,2.52
1991-05-01,2.56
1991-06-01,2.59
1991-07-01,2.59
1991-08-01,2.61
1991-09-01,2.62
1991-10-01,2.59
1991-11-01,2.59
1991-12-01,2.63
1992-01-01,2.63
1992-02-01,2.64
1992-03-01,2.55
1992-04-01,2.63
1992-05-01,2.58
1992-06-01,2.60
1992-07-01,2.56
1992-08-01,2.62
1992-09-01,2.58
1992-10-01,2.60
1992-11-01,2.53
1992-12-01,2.49
1993-01-01,2.57
1993-02-01,2.55
1993-03-01,2.56
1993-04-01,2.51
1993-05-01,2.41
1993-06-01,2.53
1993-07-01,2.43
1993-08-01,2.55
1993-09-01,2.50
1993-10-01,2.61
1993-11-01,2.60
1993-12-01,2.59
1994-01-01,2.53
1994-02-01,2.52
1994-03-01,2.58
1994-04-01,2.64
1994-05-01,2.64
1994-06-01,2.62
1994-07-01,2.67
1994-08-01,2.65
1994-09-01,2.66
1994-10-01,2.71
1994-11-01,2.68
1994-12-01,2.62
1995-01-01,2.66
1995-02-01,2.55
1995-03-01,2.69
1995-04-01,2.63
1995-05-01,2.63
1995-06-01,2.65
1995-07-01,2.67
1995-08-01,2.67
1995-09-01,2.68
1995-10-01,2.74
1995-11-01,2.61
1995-12-01,2.68
1996-01-01,2.67
1996-02-01,2.67
1996-03-01,2.75
1996-04-01,2.73
1996-05-01,2.83
1996-06-01,2.83
1996-07-01,2.85
1996-08-01,2.97
1996-09-01,3.04
1996-10-01,3.08
1996-11-01,2.98
1996-12-01,2.94
1997-01-01,2.95
1997-02-01,2.93
1997-03-01,2.92
1997-04-01,2.90
1997-05-01,2.88
1997-06-01,2.88
1997-07-01,2.84
1997-08-01,2.93
1997-09-01,2.90
1997-10-01,2.93
1997-11-01,2.93
1997-12-01,3.02
1998-01-01,3.04
1998-02-01,3.00
1998-03-01,2.97
1998-04-01,3.06
1998-05-01,3.00
1998-06-01,3.05
1998-07-01,3.13
1998-08-01,3.15
1998-09-01,3.18
1998-10-01,3.27
1998-11-01,3.37
1998-12-01,3.30
1999-01-01,3.38
1999-02-01,3.29
1999-03-01,3.23
1999-04-01,3.27
1999-05-01,3.20
1999-06-01,3.31
1999-07-01,3.24
1999-08-01,3.25
1999-09-01,3.28
1999-10-01,3.38
1999-11-01,3.34
1999-12-01,3.40
2000-01-01,3.32
2000-02-01,3.34
2000-03-01,3.28
2000-04-01,3.34
2000-05-01,3.35
2000-06-01,3.55
2000-07-01,3.46
2000-08-01,3.54
2000-09-01,3.59
2000-10-01,3.62
2000-11-01,3.32
2000-12-01,3.66
2001-01-01,3.67
2001-02-01,3.61
2001-03-01,3.66
2001-04-01,3.65
2001-05-01,3.63
2001-06-01,3.70
2001-07-01,3.72
2001-08-01,3.84
2001-09-01,3.82
2001-10-01,3.82
2001-11-01,3.46
2001-12-01,3.84
2002-01-01,3.43
2002-02-01,3.81
2002-03-01,3.82
2002-04-01,3.72
2002-05-01,3.80
2002-06-01,3.75
2002-07-01,3.88
2002-08-01,3.78
2002-09-01,3.90
2002-10-01,3.34
2002-11-01,3.82
2002-12-01,3.76
2003-01-01,3.75
2003-02-01,3.79
2003-03-01,3.85
2003-04-01,3.30
2003-05-01,3.74
2003-06-01,3.81
2003-07-01,3.97
2003-08-01,3.98
2003-09-01,3.89
2003-10-01,3.88
2003-11-01,3.86
2003-12-01,3.90
2004-01-01,3.69
2004-02-01,3.81
2004-03-01,3.65
2004-04-01,3.82
2004-05-01,3.74
2004-06-01,3.88
2004-07-01,4.03
2004-08-01,4.05
2004-09-01,3.97
2004-10-01,3.79
2004-11-01,3.78
2004-12-01,3.85
2005-01-01,3.87
2005-02-01,3.79
2005-03-01,3.65
2005-04-01,3.77
2005-05-01,3.95
2005-06-01,3.62
2005-07-01,3.77
2005-08-01,3.80
2005-09-01,3.78
2005-10-01,3.71
2005-11-01,3.51
2005-12-01,3.69
2006-01-01,3.70
2006-02-01,3.77
2006-03-01,3.78
2006-04-01,3.62
2006-05-01,3.67
2006-06-01,3.86
2006-07-01,3.63
2006-08-01,3.60
2006-09-01,3.72
2006-10-01,3.86
2006-11-01,3.88
2006-12-01,3.90
2007-01-01,4.03
2007-02-01,4.02
2007-03-01,3.97
2007-04-01,3.79
2007-05-01,3.88
2007-06-01,3.88
2007-07-01,3.83
2007-08-01,3.90
2007-09-01,3.90
2007-10-01,3.94
2007-11-01,4.23
2007-12-01,4.08
2008-01-01,4.14
2008-02-01,4.04
2008-03-01,4.10
2008-04-01,4.20
2008-05-01,4.08
2008-06-01,4.07
2008-07-01,4.17
2008-08-01,4.25
2008-09-01,4.42
2008-10-01,4.40
2008-11-01,4.40
2008-12-01,4.28
2009-01-01,4.44
2009-02-01,4.35
2009-03-01,4.17
2009-04-01,4.37
2009-05-01,4.28
2009-06-01,4.25
2009-07-01,4.19
2009-08-01,4.28
2009-09-01,4.24
2009-10-01,4.62
2009-11-01,4.43
2009-12-01,4.23
2010-01-01,4.48
2010-02-01,4.39
2010-03-01,4.31
2010-04-01,4.45
2010-05-01,4.56
2010-06-01,4.53
2010-07-01,4.43
2010-08-01,4.42
2010-09-01,4.33
2010-10-01,4.60
2010-11-01,4.49
2010-12-01,4.58
2011-01-01,4.74
2011-02-01,4.99
2011-03-01,4.92
2011-04-01,4.88
2011-05-01,4.61
2011-06-01,4.85
2011-07-01,4.86
2011-08-01,4.79
2011-09-01,4.81
2011-10-01,5.21
2011-11-01,5.22
2011-12-01,5.25
2012-01-01,5.29
2012-02-01,5.03
2012-03-01,5.09
2012-04-01,5.21
2012-05-01,5.05
2012-06-01,4.90
2012-07-01,4.93
2012-08-01,4.85
2012-09-01,4.89
2012-10-01,5.13
2012-11-01,5.04
2012-12-01,5.10
2013-01-01,5.26
2013-02-01,5.18
2013-03-01,5.09
2013-04-01,5.09
2013-05-01,4.83
2013-06-01,5.01
2013-07-01,4.84
2013-08-01,5.03
2013-09-01,4.80
2013-10-01,4.95
2013-11-01,4.89
2013-12-01,4.98
2014-01-01,5.02
2014-02-01,4.98
2014-03-01,4.84
2014-04-01,5.01
2014-05-01,4.91
2014-06-01,4.69
2014-07-01,4.72
2014-08-01,4.75
2014-09-01,4.99
2014-10-01,4.88
2014-11-01,4.86
2014-12-01,5.04
2015-01-01,5.09
